# Attributes
STR	ST
DEX	GE
CON	CO
INT	IN
WIS	WE
CHA	CH

Strength	Stärke
Dexterity	Geschicklichkeit
Constitution	Konstitution
Intelligence	Intelligenz
Wisdom		Weisheit
Charisma	Charisma

Prime Requisite	Primärattribut
Hit Dice	Trefferwürfel
Maximum Level	Maximale Stufe

# Classes
Fighter	Kämpfer
Cleric	Kleriker
Thief	Dieb
magic user	Magier
Halfling	Halbling
Halflings	Halblinge
Elf		Elf
Elves		Elfen
dwarf	Zwerg
dwarves	Zwerge

# Optional Classes
Gnome	Gnom
Gnomes	Gnome
Bard	Barde
Bards	Barden

gem	Edelstein
proficiency	Fähigkeit
character	Charakter
saving throws	Rettungswürfe
saving throw	Rettungswurf
infravision	Infravision
feet	Fuß
ability	Fähigkeit
disarm traps	Fallen entschärfen
crossbow	Armbrust
attack rolls	Angriffswürfe
damage rolls	Schadenswürfe
armor class	Rüstungsklasse
creatures	Kreaturen
Level	Stufe
continual light	Dauerhaftes Licht
invisibility	Unsichtbarkeit
Reaching 9 th Level	Erreichen der 9. Stufe
Level Progression	Stufen
Experience	Erfahrung
Requirements	Mindestanforderungen
None	Keine Beschränkung
glory	Ruhm

weapons	Waffen
chain mail	Kettenhemd
shields	Schilde
shield	Schild

Saving Throw table	Rettungswurftabelle
Saving Throw	Rettungswurf

percentage chart	Prozenttabelle
# Magic
spell	Zauberspruch
spells	Zaubersprüche
illusions	Illusionen
illusion magic	Illusionsmagie
Scrolls	Schriftrollen
Charm Person	Person bezaubern
Charm Monster	Monster bezaubern
detect magic	Magie erkennen


hp	TP
Hit point modifiers	Trefferpunktmodifikatoren
1d4	1W4
